Substructure,Fold,Importance,Central Atom
3218693969,0,-0.0001537860232205,C
3218693969,0,-8.05501387605885e-05,C
3218693969,0,-0.000212985918086,C
3218693969,0,-9.194183855686708e-05,C
3218693969,0,0.0001447328988697,C
3217380708,0,0.0001128838287963,C
3217380708,0,6.445540509606579e-06,C
3217380708,0,0.0003433565156476,C
3217380708,0,-4.206381310755975e-05,C
3217380708,0,3.713521020831407e-05,C
951226070,0,-0.0004910047217123,C
951226070,0,-0.001172646790172,C
951226070,0,-0.0006088653621452,C
951226070,0,-0.0014474130444524,C
951226070,0,-0.0005325992922886,C
2968968094,0,-3.622349681755167e-05,C
2968968094,0,-1.0658714566343793e-05,C
2968968094,0,4.226537309124853e-05,C
2968968094,0,6.754815901030727e-05,C
2968968094,0,8.541649608753959e-05,C
2245384272,0,0.0002559735991021,C
2245384272,0,0.0004193292611076,C
2245384272,0,0.0001711176993404,C
2245384272,0,0.0002482111340992,C
2245384272,0,0.0003482230726806,C
864942730,0,8.35768227368406e-05,O
864942730,0,4.185550096874775e-05,O
864942730,0,6.745800791625473e-05,O
864942730,0,0.0002117616791878,O
864942730,0,-0.0001258885311061,O
2246728737,0,0.0001329433548599,C
2246728737,0,9.64281933060456e-05,C
2246728737,0,0.0001681171413648,C
2246728737,0,0.0001692450964601,C
2246728737,0,-4.952535964809334e-05,C
98513984,0,-2.184131615820973e-05,C
98513984,0,-0.0013455791613221,C
98513984,0,0.000392663978811,C
98513984,0,-0.0003108852346632,C
98513984,0,2.853017431049196e-05,C
2041434490,0,0.0005322501970035,N
2041434490,0,0.0001434220257567,N
2041434490,0,0.0003752222636381,N
2041434490,0,0.0002812422522076,N
2041434490,0,7.196533534841593e-05,N
2246699815,0,0.000141454193698,C
2246699815,0,0.0001768589607151,C
2246699815,0,0.0002121325102581,C
2246699815,0,0.0001305866250637,C
2246699815,0,0.0001773197313441,C
994485099,0,8.498752395073167e-05,C
994485099,0,2.9663850816854555e-05,C
994485099,0,0.0003444585882186,C
994485099,0,-0.0001201104633834,C
994485099,0,-0.0002852994708558,C
1510328189,0,0.0005485151149844,O
1510328189,0,0.0001269473379761,O
1510328189,0,-0.0001602838474176,O
1510328189,0,-0.000114309737496,O
1510328189,0,0.0004513541972307,O
3999906991,0,4.932517368268045e-06,C
3999906991,0,-0.0008899374012054,C
3999906991,0,-0.000126497720166,C
3999906991,0,-0.0004214290461474,C
3999906991,0,-0.000413074091329,C
2976033787,0,-0.000193866277181,C
2976033787,0,-0.0001929647913627,C
2976033787,0,-0.0002460551056739,C
2976033787,0,-0.000125851619771,C
2976033787,0,-0.0001725824790612,C
2092489639,0,0.0002747655544007,N
2092489639,0,0.0002952240541192,N
2092489639,0,0.0001485942686272,N
2092489639,0,0.0005598636631857,N
2092489639,0,0.0005858937770981,N
847961216,0,-0.0001718741227458,N
