Substructure,Fold,Importance,Central Atom
847961216,0,-0.0001515047778553845,N
847961216,0,0.000525577075345722,N
847961216,0,8.170142073283398e-05,N
847961216,0,0.00028784595469966926,N
847961216,0,0.0003916636714825306,N
864674487,0,0.0,O
864674487,0,0.0,O
864674487,0,0.0,O
864674487,0,0.0,O
864674487,0,0.0,O
864942730,0,-6.440883156696997e-06,O
864942730,0,-9.034852924515516e-06,O
864942730,0,-3.015411465552304e-05,O
864942730,0,-9.277958999898833e-06,O
864942730,0,-3.1349528564888e-05,O
1026928756,0,0.0,S
1026928756,0,0.0,S
1026928756,0,0.0,S
1026928756,0,0.0,S
1026928756,0,0.0,S
2041434490,0,0.0008653984199362402,N
2041434490,0,0.0007707721353414024,N
2041434490,0,0.00023550891707560355,N
2041434490,0,7.400259122938239e-05,N
2041434490,0,0.0007491621328945255,N
2092489639,0,0.0,N
2092489639,0,0.0,N
2092489639,0,0.0,N
2092489639,0,0.0,N
2092489639,0,0.0,N
2245384272,0,-0.00020103544181750317,C
2245384272,0,0.00031643118286171345,C
2245384272,0,-2.2295422014779326e-05,C
2245384272,0,5.373909088682901e-05,C
2245384272,0,0.0001103461165107393,C
2246699815,0,3.1137943791921877e-05,C
2246699815,0,4.2681275662006385e-06,C
2246699815,0,3.182578212240078e-05,C
2246699815,0,9.726605995012683e-06,C
2246699815,0,8.883494310357731e-06,C
2246728737,0,-3.417137135725088e-05,C
2246728737,0,2.188924187461385e-05,C
2246728737,0,-6.770807158695737e-05,C
2246728737,0,2.162511505585194e-05,C
2246728737,0,2.5126495032545652e-05,C
3217380708,0,0.0,C
3217380708,0,0.0,C
3217380708,0,0.0,C
3217380708,0,0.0,C
3217380708,0,0.0,C
3218693969,0,0.0,C
3218693969,0,0.0,C
3218693969,0,0.0,C
3218693969,0,0.0,C
3218693969,0,0.0,C
98513984,0,-5.872211917001477e-05,C
98513984,0,-0.00015416330095940033,C
98513984,0,2.0788395539594884e-05,C
98513984,0,-0.00017374443488985848,C
98513984,0,-6.833019150290307e-05,C
571978829,0,0.0,C
571978829,0,0.0,C
571978829,0,0.0,C
571978829,0,0.0,C
571978829,0,0.0,C
951226070,0,0.0,C
951226070,0,0.0,C
951226070,0,0.0,C
951226070,0,0.0,C
951226070,0,0.0,C
1100037548,0,0.0,N
1100037548,0,0.0,N
1100037548,0,0.0,N
1100037548,0,0.0,N
1100037548,0,0.0,N
1271691605,0,0.0,S
1271691605,0,0.0,S
1271691605,0,0.0,S
1271691605,0,0.0,S
1271691605,0,0.0,S
1510328189,0,0.0019014422002981229,O
1510328189,0,0.0011917682575707193,O
1510328189,0,0.0010507306714106373,O
1510328189,0,0.001675344577892414,O
1510328189,0,0.0016917553584243242,O
